row_0,agricultural,com-ind-ins,hidres,lodres,medres,All
agricultural,9,0,0,0,0,9
com-ind-ins,0,10,0,0,0,10
hidres,0,0,10,0,0,10
lodres,0,0,0,4,0,4
medres,0,0,0,0,5,5
All,9,10,10,4,5,38
